Dataset;Fold;Strategy;Parameter Combination;Model;Model Parameter Combination;MSE;RMSE;MAE;R2;WMSE;WRMSE;WMAE;WR2;SERA;DWRMSE;DWSERA
forestFires;3;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};2732.331411083751;52.271707558523005;30.541067642201973;-0.5192907027898983;13328.944529643552;115.451048196383;84.52740317137194;-1.1000915649351177;144720.3432364896;101.211246642149;173632.3433918248
forestFires;4;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};1422.4964448380817;37.71599720063201;21.437948931899275;-0.34452304041564785;10954.343324332578;104.66299883116562;83.68340228880498;-1.3653383024247852;77194.30840718625;77.3910776622516;88773.37196960725
forestFires;5;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};8491.207897150696;92.14775036402514;43.5064673318481;-0.27258651114504096;74501.84904730607;272.9502684506943;173.68844234352144;-0.5550641066064015;663751.4556652561;284.6368982923896;691036.3089755083
forestFires;6;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};1098.94733528612;33.150374587417865;23.19821952795234;-0.9308137591515706;2181.822595916168;46.70998389976353;38.11369540667395;0.2647710213190162;15370.486300955128;40.563677056310816;35234.35166269245
forestFires;7;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};1593.2441423901296;39.91546244740413;25.887399985904892;-1.1294885957407215;;;;;820.5207333309165;;98923.28932735519
forestFires;8;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};1529.6103759359485;39.110233647166424;25.685961089907916;-3.5404025390938703;2634.421504675257;51.326615948017235;41.638294876470816;-1.7323258451906374;26072.238689977483;42.937044644587345;54649.75238684635
forestFires;9;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 10, 'epsilon': 0.1};11154.03746143151;105.61267661332852;28.647123573203693;0.05333756267323464;127523.63825106123;357.10452006529016;163.61597565048712;-0.11175637787653359;1068634.2525100373;487.1486711956082;1077552.2247651145
forestFires;0;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};16976.0442196242;130.2921494934526;36.32873309047001;-0.020935292937077854;159654.31465499045;399.56765967103803;210.12071120059338;-0.312148298486008;1693768.7651452913;564.3182784296066;1705370.0937973848
forestFires;1;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};3038.0489040568727;55.118498746399766;35.36604997179443;-12.587062645454447;;;;;1579.785430109574;;111810.90938149765
forestFires;2;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};997.2278307159546;31.578914337195865;17.811995689509253;-5.439731629614584;;;;;513.5723328187166;;34368.9191400692
forestFires;3;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};3846.7053330072104;62.02181336438987;34.77634283973631;-1.1389292766985788;14181.344637560618;119.0854509902894;94.09732188698489;-1.234394642917414;154303.22903927983;106.50912342453272;211654.55325295663
forestFires;4;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};1687.4366823649286;41.07842112794659;22.895140726614937;-0.5949407163126075;11227.313543655297;105.9590182271207;85.94066525057721;-1.424279938273565;79180.00225666568;78.6733954823;94557.72665743568
forestFires;5;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};8049.458437920455;89.71877416639427;37.48225293964576;-0.20638104191955442;77673.35880882895;278.699405827908;177.2460153904117;-0.6212624769416732;691660.2930696668;290.543674856666;711900.3872706775
forestFires;6;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};1166.3339369150722;34.15163154104167;23.282914923018954;-1.0492097672494212;3405.150100304707;58.35366398354697;48.71773923227857;-0.14746498417815146;23781.149032694568;47.452005083057266;42178.55187292648
forestFires;7;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};2142.829081569512;46.29070189108728;29.68698045171414;-1.864049501527362;;;;;1103.5569770082984;;134319.63730692177
forestFires;8;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};1504.8679000987993;38.792626878039584;24.523740010721763;-3.4669584765523087;2857.968682768071;53.459972715743795;45.99845405916581;-1.964180820272813;28170.72348534437;45.51872252458722;60223.484271987225
forestFires;9;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.01};12208.088977333635;110.49022118420089;30.820170774852393;-0.03612161124133961;139564.4155406352;373.58321099941736;171.51883917975823;-0.21672837467543582;1169556.2013271651;509.65160441301106;1177527.3324226907
forestFires;0;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};16885.98200269295;129.94607344084295;35.552380722419755;-0.015518972465964787;159757.1310354941;399.6962985011171;209.96117945548406;-0.3129933137868841;1694803.5289937744;564.5479262728467;1705248.5506501219
forestFires;1;SMOTER;('extreme', 5);SVM;{'kernel': 'rbf', 'C': 100, 'epsilon': 0.1};2889.5241165856332;53.75429393625809;34.882745900629054;-11.92281540799893;;;;;1502.5525406245295;;109407.04918909776
